id;enlace;titulo;marca;modelo;motor;combustible;kilometraje;transmision;precio;localidad;region
CL-AD-14735282;https://www.chileautos.cl/vehiculos/detalles/2013-mazda-6-2-0-skyactiv-g-le-auto/CL-AD-14735282/?Cr=0&gts=CL-AD-14735282&gtsSaleId=CL-AD-14735282&gtsViewType=showcase&rankingType=showcase;2013 Mazda 6 2.0 Skyactiv-G LE Auto;MAZDA;MAZDA6;20;Bencina;103900;Automatica;10000000.0;Puente Alto;
CL-AD-15499247;https://www.chileautos.cl/vehiculos/detalles/2020-mazda-bt-50-3-2-dsl-sdx-auto-hi-rider-4wd/CL-AD-15499247/?Cr=0&gts=CL-AD-15499247&gtsSaleId=CL-AD-15499247&gtsViewType=showcase&rankingType=showcase;2020 Mazda Bt-50 3.2 DSL SDX Auto Hi Rider 4WD;MAZDA;BT-50;32;Diesel;92000;Automatica;20900000.0;Vitacura;
CL-AD-15185232;https://www.chileautos.cl/vehiculos/detalles/2019-mazda-bt-50-2-2-dsl-manual-sdx-4wd/CL-AD-15185232/?Cr=0&gts=CL-AD-15185232&gtsSaleId=CL-AD-15185232&gtsViewType=showcase&rankingType=showcase;2019 Mazda Bt-50 2.2 DSL Manual SDX 4WD;MAZDA;BT-50;22;Diesel;94000;Manual;21700000.0;Galvarino; Araucania
CL-AD-15158840;https://www.chileautos.cl/vehiculos/detalles/2020-mazda-3-sport/CL-AD-15158840/?Cr=0&gts=CL-AD-15158840&gtsSaleId=CL-AD-15158840&gtsViewType=showcase&rankingType=showcase;2020 Mazda 3 Sport;;;;Bencina;25000;Automatica;19800000.0;Vina del Mar; Valparaiso
CP-AD-8267126;https://www.chileautos.cl/vehiculos/detalles/2013-mazda-2-1-5-v/CP-AD-8267126/?Cr=0;2013 Mazda 2 1.5 V;MAZDA;MAZDA2;15;Bencina;61450;Manual;7390000.0;;
CP-AD-8272121;https://www.chileautos.cl/vehiculos/detalles/2020-mazda-3-2-0-skyactiv-g-auto-v-hb/CP-AD-8272121/?Cr=1;2020 Mazda 3 2.0 Skyactiv-G Auto V HB;MAZDA;MAZDA3;20;Bencina;54731;Automatica;14990000.0;Araucania;
CP-AD-8263708;https://www.chileautos.cl/vehiculos/detalles/2021-mazda-cx-30-2-0-s-skyactive-g/CP-AD-8263708/?Cr=2;2021 Mazda Cx-30 2.0 S Skyactive-G;MAZDA;CX-30;20;Bencina;35000;Manual;16280000.0;;
GI-AD-314918;https://www.chileautos.cl/vehiculos/detalles/mazda-3-2021-2-0-v-7g-at/GI-AD-314918/?Cr=3;Mazda 3 2021 2.0 V 7G AT;;;;Bencina;25179;Automatica;17990000.0;;
GI-AD-470450;https://www.chileautos.cl/vehiculos/detalles/mazda-cx-5-2019-2-0-r-awd-6mt-5p/GI-AD-470450/?Cr=4;Mazda Cx-5 2019 2.0 R AWD 6MT 5P;;;;Bencina;63100;Manual;15690000.0;;
GI-AD-476661;https://www.chileautos.cl/vehiculos/detalles/mazda-3-2021-2-0-s-6mt-4p/GI-AD-476661/?Cr=5;Mazda 3 2021 2.0 S 6MT 4P;;;;Bencina;49812;Manual;13290000.0;Araucania;
GI-AD-476124;https://www.chileautos.cl/vehiculos/detalles/mazda-2-2019-1-5-sport-s-mt-5p/GI-AD-476124/?Cr=6;Mazda 2 2019 1.5 SPORT S MT 5P;;;;Bencina;94481;Manual;9990000.0;;
GI-AD-465949;https://www.chileautos.cl/vehiculos/detalles/mazda-cx-5-2022-2-0-r-car-audio-6mt-5p/GI-AD-465949/?Cr=7;Mazda Cx-5 2022 2.0 R CAR AUDIO 6MT 5P;;;;Bencina;17947;Manual;18490000.0;;
CP-AD-8275579;https://www.chileautos.cl/vehiculos/detalles/2018-mazda-3-sport-v-sr-2-0-at/CP-AD-8275579/?Cr=8;2018 Mazda 3 Sport V SR 2.0 AT;;;;Bencina;65477;Automatica;12895750.0;;
CP-AD-8272322;https://www.chileautos.cl/vehiculos/detalles/2021-mazda-bt-50-3-2-dsl-sdx-auto-hi-rider-4wd/CP-AD-8272322/?Cr=9;2021 Mazda Bt-50 3.2 DSL SDX Auto Hi Rider 4WD;MAZDA;BT-50;32;Diesel;31000;Automatica;24990000.0;;
CP-AD-8265206;https://www.chileautos.cl/vehiculos/detalles/2019-mazda-cx-5-2-0-skyactiv-r-auto-4wd/CP-AD-8265206/?Cr=10;2019 Mazda Cx-5 2.0 Skyactiv R Auto 4WD;MAZDA;CX-5;20;Bencina;72000;Automatica;18900000.0;;
CP-AD-8249148;https://www.chileautos.cl/vehiculos/detalles/2018-mazda-cx-5-2-0-skyactiv-r-auto/CP-AD-8249148/?Cr=11;2018 Mazda Cx-5 2.0 Skyactiv R Auto;MAZDA;CX-5;20;Bencina;45766;Automatica;16598400.0;;
CP-AD-8263131;https://www.chileautos.cl/vehiculos/detalles/2015-mazda-bt-50-2-2-dsl-dx/CP-AD-8263131/?Cr=12;2015 Mazda Bt-50 2.2 DSL DX;MAZDA;BT-50;22;Diesel;217245;Manual;12980000.0;;
CP-AD-8252334;https://www.chileautos.cl/vehiculos/detalles/2016-mazda-cx-3-2-0-gt-auto-skyactive-4wd/CP-AD-8252334/?Cr=13;2016 Mazda Cx-3 2.0 GT Auto Skyactive 4WD;MAZDA;CX-3;20;Bencina;71700;Automatica;13500000.0;;
GI-AD-494383;https://www.chileautos.cl/vehiculos/detalles/mazda-3-sport-2016-2-5-sport-gt-sr-gps-at-5p/GI-AD-494383/?Cr=14;Mazda 3 Sport 2016 2.5 SPORT GT SR GPS AT 5P;;;;Bencina;117677;Automatica;9990000.0;;
GI-AD-493439;https://www.chileautos.cl/vehiculos/detalles/mazda-cx-3-2017-all-new-cx3-r-2-0-6mt/GI-AD-493439/?Cr=15;Mazda Cx-3 2017 ALL NEW CX3 R 2.0 6MT;;;;Bencina;106891;Manual;10990000.0;Araucania;
CP-AD-8270283;https://www.chileautos.cl/vehiculos/detalles/2022-mazda-cx-30-2-0-v-auto-skyactive-g/CP-AD-8270283/?Cr=16;2022 Mazda Cx-30 2.0 V Auto Skyactive-G;MAZDA;CX-30;20;Bencina;30152;Automatica;19990000.0;Araucania;
CP-AD-8274817;https://www.chileautos.cl/vehiculos/detalles/2021-mazda-3-2-5-auto-skyactiv-g-gtx/CP-AD-8274817/?Cr=17;2021 Mazda 3 2.5 Auto Skyactiv-G GTX;MAZDA;MAZDA3;25;Bencina;51000;Automatica;18590000.0;;
CP-AD-8276957;https://www.chileautos.cl/vehiculos/detalles/2016-mazda-cx-5-2-0-skyactiv-r-auto/CP-AD-8276957/?Cr=18;2016 Mazda Cx-5 2.0 Skyactiv R Auto;MAZDA;CX-5;20;Bencina;103000;Automatica;12390000.0;;
CP-AD-8279594;https://www.chileautos.cl/vehiculos/detalles/2018-mazda-cx-9-2-5-gt-auto-4wd/CP-AD-8279594/?Cr=19;2018 Mazda Cx-9 2.5 GT Auto 4WD;MAZDA;CX-9;25;Bencina;41300;Automatica;17490000.0;;
GI-AD-465057;https://www.chileautos.cl/vehiculos/detalles/mazda-3-sport-2019-mazda-3-sport-gt-hatchback-2-5-mt/GI-AD-465057/?Cr=20;Mazda 3 Sport 2019 MAZDA 3 SPORT GT HATCHBACK 2.5 MT;;;;Bencina;47154;Manual;16490000.0;Araucania;
GI-AD-490351;https://www.chileautos.cl/vehiculos/detalles/mazda-cx-5-2017-2-0-r-6mt-5p/GI-AD-490351/?Cr=21;Mazda Cx-5 2017 2.0 R 6MT 5P;;;;Bencina;89501;Manual;12490000.0;Bio Bio;
GI-AD-440385;https://www.chileautos.cl/vehiculos/detalles/mazda-3-sedan-2019-1-6-s-sedan-5mt-4p/GI-AD-440385/?Cr=22;Mazda 3 Sedan 2019 1.6 S SEDAN 5MT 4P;;;;Bencina;58865;Manual;11990000.0;;
GI-AD-505955;https://www.chileautos.cl/vehiculos/detalles/mazda-5-2016-v-2-0/GI-AD-505955/?Cr=23;Mazda 5 2016 V 2.0;;;;Bencina;63200;Automatica;8490000.0;;
