brand,model,version,price,kilometraje,cylinder,city,region,year,fuel_type,transmission,doors,plate,description,only_owner,never_bumped,checked_maintenance,state
VOLKSWAGEN,ESCARABAJO,"1,6 LTS. SEDÁN 2P. T/M MOTOR ACD",12000000,4427,1.6,Vitacura,13,1996,gasolina,mecanico,2,NZ5309,"Este ejemplar fue adquirido en el 2020, siendo el tercer dueño. Con solo 74.000kms, se desarmó y restauró en su totalidad, auto restaurado en @tallerranchovw (más de 50 años de experiencia) . todos sus componentes originales fueron importados de México y Brasil, se trajo de usa y Europa todos los accesorios a gusto como, llantas speedwell, encendido electrónico cbperformance, palanca de cambios  con 40% menos recorrido, relojería vdo.

Se mantuvo el motor 1.6 lts con modificación en el sistema de escapes , encendido, y carburación para darle el sonido característico de un “escarabajo”… 

Con transmision mecánica de 4 marchas la cual fue restaurada y pintada en conjunto con toda la restauración mecánica de la suspensión y frenos traseros.

El auto esta guardado en un estacionamiento subterráneo en Vitacura, cuenta con Certificado Mecánico pre Compra, recibimos autos en parte de pago, gestionamos financiamiento, pagos con TC, transferencia digital en 5 minutos en tu teléfono.",,True,,1
AUDI,Q2,35 TFSI,27990000,14800,1.4,Las Condes,13,2023,gasolina,automatico,4,SPGK33,"Dos llaves

– Caja automática S-Tronic de 8 velocidades

– Caja Sport

– ⁠Tiptronic

– Motor 1.4 Turbo

– ⁠Modos de conducción

– ⁠Control de estabilidad",True,True,True,1
SUBARU,FORESTER,,5290000,249890,,Rancagua,6,2008,,,,BFSW85,,,,,1
JEEP,GRAND CHEROKEE,,20590000,106000,,Las Condes,13,2018,,,,PRZL35,,,,,1
M. BENZ,GLA,200,20500000,57200,1.6,Los Ángeles,8,2019,gasolina,automatico,4,LFBC27,"Mercedes Benz Gla200 1.6 Neumáticos delanteros nuevos 
Manutenciones recién hechas.
Pequeño topon atrás a la izquierda. Se puede entregar arreglado.",,,,1
MINI,F56,,18200000,88000,,Vitacura,13,2017,,,,JCLX34,"La MINI F56 1.5 Cooper Salt AUT está equipada con características que combinan estilo y rendimiento: motor de 1.5 litros, transmisión automática, control de estabilidad, frenos antibloqueo (ABS), asistencia de frenado, control de tracción, aire acondicionado, sistema de audio con reproductor de CD, conectividad Bluetooth, volante multifunción, asientos comodos, llantas de aleación y detalles de diseño exclusivos de la línea Salt. Es una opción divertida y sofisticada para la conducción urbana. 3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito.",,,,1
RENAULT,DUSTER,,8390000,41320,,Rancagua,6,2018,,,,KLYC99,,,,,1
DS,DS3,CROSSBACK 1.2 T/A,19950000,21742,1.2,Lo Barnechea,13,2022,gasolina,automatico,4,RYWT66,"Descubre la sofisticación del diseño francés a bordo del DS3 Crossback Opera 1.2 2022, 21.742 kms, mantenido en concesionario, único dueño, rendimiento mixto de 16.5 kms/lt, tapicería de cuero con diseño, volante multifunción con velocidad crucero adaptativa, frenado autónomo, asistencia en mantenimiento de carril, tecnología Led Matrix que ajusta la iluminación al camino y se adapta a los obstáculos, audio Focal Electra con 8 altavoces más subwoofer, control de climatización a bordo, manillas exteriores desplegables, llantas de aleación de 18"", asistencia de parqueo con cámara 360° y sensores perimetrales, pantalla extra larga con Apple CarPlay y Android Auto entre muchas otras características que te enamorarán...

*El DS cuenta con Certificado Mecánico pre compra* 

El auto se encuentra en poder de su dueño en la comuna de Lo Barnechea, visitas con 24 hrs de anticipación, gestionamos créditos con las principales financieras, pagos con TC y firma digital.",True,True,True,1
KIA,RIO 4,,7990000,109000,,Macul,13,2019,,,,LPFT72,"Kia Rio 4 
Año 2019 
109.000 km 
Único dueño 
2 llaves 
Aire acondicionado 
Llantas 
Cámara y sensor de retroceso 
Mandos al volante 
Velocidad crucero 
Motor 1.4 caja 6ta",,,,1
MAZDA,6,,9190000,74000,,Las Condes,13,2015,,,,GXLF22,,,,,1
M. BENZ,S,,10000000,223000,,Valdivia,14,2001,,,,UR2011,,,,,1
FORD,EXPLORER,,15780000,130283,,Las Condes,13,2017,,,,JJXK76,"COLOR: AZUL JEANS
EXCELENTE CUIDADO DE SU ÚNICA DUEÑA CON MANTENCIONES EN LA MARCA DOS LLAVES, 3 CORRIDAS DE ASIENTOS, BUTACA CONDUCTOR ELÉCTRICA, ECONOMIZADOR DE COMBUSTIBLE, AUTOMATICO, FULL, 6 AIRBAG, CONTROL DE ESTABILIDAD, ABS, AIRE ACONDICIONADO, NEUMÁTICOS SEMINUEVOS, ISOFIX, LLANTAS, CÁMARA RETROCESO, COMANDOS AL VOLANTE, MANOS LIBRES, BLUETOOTH, RADIO CD, AUXILIAR, USB, ESPEJOS ELÉCTRICOS ABATIBLES...ETC. SE RECIBE AUTO EN PARTE DE PAGO, CRÉDITO DIRECTO E INMEDIATO.",,,,1
CHEVROLET,SPARK,,4350000,46000,,La Reina,13,2015,,,,GWKD15,,,,,1
M. BENZ,G,"55 AM 5,4 DOHC STATION WAGON 5P. 4X4 T/A MOTOR OTTO",74990000,94000,5.5,Las Condes,13,2012,gasolina,automatico,5,DYWT17,,,,,1
RAM,1500,,24990000,92000,,Las Condes,13,2020,,,,PJRS70,,,,,1
SUZUKI,SWIFT,,7890000,76536,,Rancagua,6,2017,,,,JVFC47,,,,,1
SUBARU,IMPREZA,,7790000,220000,,Rancagua,6,2013,,,,FPFP50,,,,,1
