combustible,comuna,kilometraje,motor,name,precio,region,transmision,vendedor
,Lo Barnechea,"144,917 km",,2013 BMW X5 XDRIVE 35I 3.0 AUT,"$16,790,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,230 km,,2024 Toyota Hilux DCAB 4X4 2.4 MT,"$31,590,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,"Lo Barnechea,gasolina","59,500 km",2.3,2021 Ford Explorer 2.3 Limited Ecoboost Auto,"$31,990,000 CLP",Metropolitana de Santiago,automático,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"303,366 km",,2013 Nissan Juke 1.6 AUT,"$4,990,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"147,932 km",,2002 BMW 330 CIA CABRIO 3.0 AUT,"$19,990,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"42,300 km",,2022 Mazda Bt-50 3.0 DSL HIGH PLUS 4WD AUT,"$32,290,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"215,558 km",,2015 Lexus Nx,"$16,490,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"154,076 km",,2020 Citroën C5 Aircross 2.0,"$14,990,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Vitacura,"90,700 km",,2017 BMW X3 20d xDRIVE,"$22,990,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,"Las Condes,gasolina","29,900 km",2.0,2021 Mercedes-Benz A 45 Amg 2.0 Mercedes-AMG A 45 S 4Matic+ DCT,"$46,990,000 CLP",Metropolitana de Santiago,automático,Automotora Usado - Metropolitana de Santiago
,"Santiago,diesel","98,400 km",2.2,2018 Kia Sorento 2.2 DSL EX Auto,"$16,990,000 CLP",Metropolitana de Santiago,automático,Automotora Usado - Metropolitana de Santiago
