marca,modelo,precio,kilometraje,motor,region,año,combustible,transmision
AUDI,Q2,27.99,14800,1.4,Metropolitana,2023,gasolina,automatico
M. BENZ,GLA,20.5,57200,1.6,Biobío,2019,gasolina,automatico
DS,DS3,19.95,21742,1.2,Metropolitana,2022,gasolina,automatico
SKODA,FABIA,10.89,43000,1.0,Metropolitana,2021,gasolina,mecanico
GEELY,AZKARRA,17.5,30000,1.5,Antofagasta,2022,gasolina,automatico
HYUNDAI,CRETA,8.9,120000,1.6,Antofagasta,2018,gasolina,
M. BENZ,C,39.97,63000,,Metropolitana,2019,gasolina,automatico
SUZUKI,GRAND NOMADE,8.5,120000,2.4,Antofagasta,2015,gasolina,mecanico
VOLKSWAGEN,AMAROK,21.99,65000,2.0,Metropolitana,2021,diesel,mecanico
JEEP,PATRIOT,10.9,119000,2.4,Biobío,2015,gasolina,automatico
MITSUBISHI,L200,9.58,122965,,Metropolitana,2015,diesel,mecanico
SUZUKI,SWIFT,6.5,118000,,Metropolitana,2012,gasolina,automatico
JEEP,GRAND CHEROKEE,18.98,135600,3.6,Metropolitana,2016,gasolina,automatico
CHANGAN,UNI-T,18.99,17000,1.5,Metropolitana,2022,gasolina,automatico
AUDI,A7,14.98,171000,3.0,Metropolitana,2013,gasolina,automatico
M. BENZ,A200,15.89,103276,1.6,Metropolitana,2015,gasolina,automatico
RENAULT,SYMBOL,7.48,44000,1.6,Metropolitana,2021,gasolina,mecanico
AUDI,Q3,33.97,5795,1.4,Metropolitana,2024,gasolina,automatico
MAZDA,MAZDA3,12.98,69809,2.5,Metropolitana,2018,gasolina,automatico
AUDI,A3,13.3,90673,1.4,Metropolitana,2018,gasolina,automatico
RENAULT,SYMBOL,7.48,44000,1.6,Metropolitana,2021,gasolina,mecanico
FIAT,UNO,7.48,64000,1.4,Metropolitana,2021,gasolina,mecanico
SUBARU,OUTBACK,16.3,129816,2.5,Metropolitana,2019,gasolina,automatico
FORD,ESCAPE,4.49,140000,3.0,Ñuble,2004,gasolina,automatico
SUZUKI,BALENO,8.6,83139,1.4,Metropolitana,2018,gasolina,automatico
FORD,EXPLORER,28.97,53953,2.3,Metropolitana,2020,gasolina,automatico
VOLKSWAGEN,TIGUAN,15.1,95541,2.0,Metropolitana,2018,gasolina,automatico
MITSUBISHI,L200,18.99,117000,2.4,Metropolitana,2018,diesel,automatico
FORD,EXPLORER,28.97,53953,2.3,Metropolitana,2020,gasolina,automatico
VOLKSWAGEN,TIGUAN,15.1,95541,2.0,Metropolitana,2018,gasolina,automatico
MITSUBISHI,L200,18.99,117000,2.4,Metropolitana,2018,diesel,automatico
KIA,CARENS,11.3,92000,,Metropolitana,2018,diesel,mecanico
PEUGEOT,208,13.97,50788,1.2,Metropolitana,2021,gasolina,automatico
VOLVO,V60CC,12.98,100800,2.4,Metropolitana,2017,diesel,automatico
SUBARU,FORESTER,25.98,36805,2.5,Metropolitana,2022,gasolina,automatico
LAND ROVER,DISCOVERY,32.98,53408,3.0,Metropolitana,2018,gasolina,automatico
MAZDA,CX-5,10.98,125600,2.0,Metropolitana,2014,gasolina,automatico
RENAULT,SYMBOL,7.48,44000,1.6,Metropolitana,2021,gasolina,mecanico
AUDI,A4,22.5,66000,2.0,Metropolitana,2018,diesel,automatico
GREAT WALL,H3,9.49,83000,2.0,Metropolitana,2020,gasolina,mecanico
M. BENZ,C300,38.99,30000,,Biobío,2022,gasolina,automatico
GREAT WALL,POER,22.99,11000,2.0,Biobío,2023,diesel,automatico
CHEVROLET,GROOVE,11.7,16000,1.5,Metropolitana,2022,gasolina,mecanico
FIAT,UNO,7.48,64000,1.4,Metropolitana,2021,gasolina,mecanico
BMW,X1,17.49,81000,2.0,Metropolitana,2018,gasolina,automatico
NISSAN,NAVARA,17.99,73000,,Metropolitana,2021,diesel,mecanico
KIA,SORENTO,20.29,120000,2.2,Metropolitana,2020,diesel,automatico
SUBARU,OUTBACK,16.3,129816,2.5,Metropolitana,2019,gasolina,automatico
KIA,SPORTAGE,12.99,75000,2.0,Biobío,2018,gasolina,mecanico
MAZDA,CX5,11.79,142000,2.0,Biobío,2015,gasolina,mecanico
JAGUAR,XE,18.99,92000,2.5,Biobío,2019,gasolina,automatico
JEEP,GRAND CHEROKEE,17.99,126000,3.6,Biobío,2019,gasolina,automatico
FORD,ESCAPE,4.49,140000,3.0,Ñuble,2004,gasolina,automatico
CHEVROLET,SILVERADO,34.99,41000,5.3,Biobío,2021,gasolina,automatico
DODGE,RAM 1500,19.99,148000,5.7,La Araucanía,2017,gasolina,automatico
SUZUKI,BALENO,8.6,83139,1.4,Metropolitana,2018,gasolina,automatico
BMW,320I,15.99,94000,2.0,Biobío,2016,gasolina,automatico
KIA,KOUP,7.99,139000,2.0,Metropolitana,2015,gasolina,mecanico
AUDI,A3,13.3,90673,1.4,Metropolitana,2018,gasolina,automatico
